book,region,id_name,territory_name,territory_name_old,capital_name,capital_lat_long,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,source,table_on_wikipedia
SW,evangl Reichsstädte,Nördlingen,Nördlingen,Nördlingen,Nördlingen,"48.8508° N, 10.4895° E",imperial city,1215,1803,,,,Roman-catholic,,1555,,,https://de.wikipedia.org/wiki/N%C3%B6rdlingen,n
SW,evangl Reichsstädte,Nördlingen,Nördlingen,Nördlingen,Nördlingen,"48.8508° N, 10.4895° E",imperial city,1215,1803,,,,lutheran,1555,,,,https://de.wikipedia.org/wiki/N%C3%B6rdlingen,n
SW,evangl Reichsstädte,Bopfingen,Bopfingen,Bopfingen,Bopfingen,"48.8570° N, 10.3566° E",imperial city,1240,1810,,,,Roman-catholic,,1545,SL,1546,https://de.wikipedia.org/wiki/Bopfingen#Zeit_als_Reichsstadt,n
SW,evangl Reichsstädte,Bopfingen,Bopfingen,Bopfingen,Bopfingen,"48.8570° N, 10.3566° E",imperial city,1240,1810,,,,lutheran,1545,,SL,1546,https://de.wikipedia.org/wiki/Bopfingen#Zeit_als_Reichsstadt,n
SW,evangl Reichsstädte,Aalen,Aalen,Aalen,Aalen,"48.8367° N, 10.0971° E",imperial city,1360,1803,,,,Roman-catholic,,1575,,,https://de.wikipedia.org/wiki/Aalen#Zeit_als_Reichsstadt,n
SW,evangl Reichsstädte,Aalen,Aalen,Aalen,Aalen,"48.8367° N, 10.0971° E",imperial city,1360,1803,,,,lutheran,1575,,,,https://de.wikipedia.org/wiki/Aalen#Zeit_als_Reichsstadt,n
SW,evangl Reichsstädte,Giengen,Giengen,Giengen,Giengen,"48.6224° N, 10.2392° E",free city,1391,1803,,,,Roman-catholic,,1556,,,https://de.wikipedia.org/wiki/Giengen_an_der_Brenz,n
SW,evangl Reichsstädte,Giengen,Giengen,Giengen,Giengen,"48.6224° N, 10.2392° E",free city,1391,1803,,,,lutheran,1556,,,,https://de.wikipedia.org/wiki/Giengen_an_der_Brenz,n
SW,evangl Reichsstädte,Augsburg,Augsburg,Augsburg,Augsburg,"48.3705° N, 10.8978° E",imperial city,1316,1805,,,,Roman-catholic,,1530,SL,1536,https://de.wikipedia.org/wiki/Augsburg#Erhebung_Augsburgs_zur_Reichsstadt,n
SW,evangl Reichsstädte,Augsburg,Augsburg,Augsburg,Augsburg,"48.3705° N, 10.8978° E",imperial city,1316,1805,,,,lutheran,1530,,SL,1536,https://de.wikipedia.org/wiki/Augsburg#Erhebung_Augsburgs_zur_Reichsstadt,n
SW,evangl Reichsstädte,Memmingen,Memmingen,Memmingen,Memmingen,"47.9838° N, 10.1802° E",Free imperial city,1286,1806,,,,Roman-catholic,,1531,SL,1531,https://de.wikipedia.org/wiki/Memmingen,n
SW,evangl Reichsstädte,Memmingen,Memmingen,Memmingen,Memmingen,"47.9838° N, 10.1802° E",Free imperial city,1286,1806,,,,lutheran,1531,,SL,1531,https://de.wikipedia.org/wiki/Memmingen,n
SW,evangl Reichsstädte,Biberach,Biberach,Biberach,Biberach,"48.0951° N, 9.7902° E",Free imperial city,1281,1802,,,,Roman-catholic,,1531,SL,1531,https://de.wikipedia.org/wiki/Biberach_an_der_Ri%C3%9F#Reichsstadt,n
SW,evangl Reichsstädte,Biberach,Biberach,Biberach,Biberach,"48.0951° N, 9.7902° E",Free imperial city,1281,1802,,,,reformed,1531,,SL,1531,https://de.wikipedia.org/wiki/Biberach_an_der_Ri%C3%9F#Reichsstadt,n
SW,evangl Reichsstädte,Kaufbeuren,Kaufbeuren,Kaufbeuren,Kaufbeuren,"47.8830° N, 10.6260° E",imperial city,1286,1802,,,,Roman-catholic,,1579,,,https://de.wikipedia.org/wiki/Kaufbeuren,n
